# Event	Time [ms]	ADC	datum
297	4228	1	0
297	4228	2	1574
297	4228	3	1560
298	4242	0	8191
298	4242	1	0
298	4242	2	1657
298	4242	3	1565
299	4266	0	8191
299	4266	1	0
299	4266	2	1668
299	4266	3	1576
300	4282	0	5308
300	4282	1	0
300	4282	2	1557
300	4282	3	1590
301	4299	2	1675
301	4299	3	1614
302	4305	2	1604
302	4305	3	1543
303	4320	0	6133
303	4320	1	48
303	4320	2	1561
303	4320	3	1641
304	4329	0	6132
304	4329	1	47
304	4329	2	1530
304	4329	3	1618
305	4342	2	1676
305	4342	3	1607
306	4370	0	8191
306	4370	1	0
306	4370	2	1648
306	4370	3	1538
307	4395	0	4079
307	4395	1	63
307	4395	2	1586
307	4395	3	1547
308	4428	2	1749
308	4428	3	1621
309	4501	0	396
309	4501	1	0
309	4501	2	1655
309	4501	3	1527
310	4524	0	6545
310	4524	1	0
310	4524	2	1556
310	4524	3	1645
311	4552	0	6543
311	4552	1	0
311	4552	2	1555
311	4552	3	1644
312	4561	0	8191
312	4561	1	0
312	4561	2	1670
312	4561	3	1554
313	4564	0	8191
313	4564	1	112
313	4564	2	1661
313	4564	3	1530
314	4585	0	6542
314	4585	1	0
314	4585	2	1561
314	4585	3	1649
315	4592	2	1580
315	4592	3	1601
316	4615	0	8191
316	4615	1	75
316	4615	2	1635
316	4615	3	1559
317	4618	0	8191
317	4618	1	0
317	4618	2	1681
317	4618	3	1534
318	4619	0	4081
318	4619	1	0
318	4619	2	1587
318	4619	3	1553
319	4629	0	4079
319	4629	1	0
319	4629	2	1592
319	4629	3	1548
320	4633	2	1678
320	4633	3	1636
321	4634	0	4493
321	4634	1	0
321	4634	2	1587
321	4634	3	1566
322	4648	0	2033
322	4648	1	84
322	4648	2	1618
322	4648	3	1514
323	4659	2	1669
323	4659	3	1588
324	4666	0	4902
324	4666	1	0
324	4666	2	1564
324	4666	3	1572
325	4697	0	4490
325	4697	1	0
325	4697	2	1581
325	4697	3	1556
326	4718	0	4488
326	4718	1	0
326	4718	2	1575
326	4718	3	1562
327	4722	0	8191
327	4722	1	0
327	4722	2	1678
327	4722	3	1587
328	4732	0	3671
328	4732	1	72
328	4732	2	1605
328	4732	3	1540
329	4735	0	7366
329	4735	1	0
329	4735	2	1562
329	4735	3	1672
330	4735	0	1211
330	4735	1	0
330	4735	2	1640
330	4735	3	1522
331	4785	0	396
331	4785	1	61
331	4785	2	1651
331	4785	3	1529
332	4789	0	8191
332	4789	1	0
332	4789	2	1665
332	4789	3	1555
333	4795	0	394
333	4795	1	0
333	4795	2	1655
333	4795	3	1533
334	4814	0	1622
334	4814	1	0
334	4814	2	1629
334	4814	3	1512
335	4815	2	1550
335	4815	3	1677
336	4822	2	1658
336	4822	3	1574
337	4823	0	6543
337	4823	1	48
337	4823	2	1562
337	4823	3	1638
338	4825	2	1671
338	4825	3	1552
339	4874	0	398
339	4874	1	0
339	4874	2	1663
339	4874	3	1541
340	4876	0	8191
340	4876	1	0
340	4876	2	1567
340	4876	3	1695
341	4888	0	6543
341	4888	1	0
341	4888	2	1569
341	4888	3	1654
342	4896	0	800
342	4896	1	67
343	4903	0	3670
343	4903	1	0
343	4903	2	1593
343	4903	3	1528
344	4923	0	7776
344	4923	1	0
344	4923	2	1561
344	4923	3	1691
345	4932	0	6952
345	4932	1	45
345	4932	2	1554
345	4932	3	1669
346	4942	0	1213
346	4942	1	40
346	4942	2	1635
346	4942	3	1513
